,Name,Type,Kind,Null,Default,PrimaryKey,UniqueKey,Check,Expression,Comment,Policy,Schema,Table
0,DONE,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,FIVETRAN_AUDIT
1,ID,VARCHAR(256),COLUMN,N,,Y,N,,,,,rtidb_projects_dbo,FIVETRAN_AUDIT
2,MESSAGE,VARCHAR(256),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,FIVETRAN_AUDIT
3,PROGRESS,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,FIVETRAN_AUDIT
4,ROWS_UPDATED_OR_INSERTED,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,FIVETRAN_AUDIT
5,SCHEMA,VARCHAR(256),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,FIVETRAN_AUDIT
6,START,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,FIVETRAN_AUDIT
7,STATUS,VARCHAR(256),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,FIVETRAN_AUDIT
8,TABLE,VARCHAR(256),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,FIVETRAN_AUDIT
9,UPDATE_ID,VARCHAR(256),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,FIVETRAN_AUDIT
10,UPDATE_STARTED,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,FIVETRAN_AUDIT
11,_FIVETRAN_SYNCED,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,FIVETRAN_AUDIT
12,ACTUAL_CLEAN_DATE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
13,ACT_CONTR_DATE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
14,ALKY_31PUMP,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
15,ALKY_BULLSEYES,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
16,ALKY_MIXTEE,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
17,ALKY_PHMETERS,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
18,AMOUNT,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
19,AMOUNT_PM,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
20,AOD_SKID1,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
21,AOD_SKID2,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
22,AOD_SKID3,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
23,AOD_SKID4,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
24,AOD_SKID5,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
25,AOD_SKID6,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
26,APPROVAL_DATE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
27,APPROVED,BOOLEAN,COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
28,APPROVED_BY,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
29,APPROVED_BY_OPS,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
30,APPROVED_OPS,BOOLEAN,COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
31,APPVL_NOTES,VARCHAR(4096),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
32,ARRIVAL_DATE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
33,BLANK_RECORD,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
34,BOOKS_DONE,BOOLEAN,COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
35,BUBBA_KIT,BOOLEAN,COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
36,CAD,BOOLEAN,COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
37,CHEM_PID1,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
38,CHEM_PID2,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
39,CHG_BY,VARCHAR(60),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
40,CHILD_ITRACKCONTR,VARCHAR(100),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
41,CHILD_MRPID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
42,COMPANY,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
43,COMPLETE,BOOLEAN,COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
44,COMPLEX,BOOLEAN,COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
45,CONTACT,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
46,CONTRACT_AMT,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
47,CURRENCY_EXCHANGE_RATE,VARCHAR(100),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
48,CURRENCY_TYPE,VARCHAR(100),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
49,CUSTOMER_PONO,VARCHAR(256),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
50,DBSYNC_ERROR,VARCHAR(510),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
51,DBSYNC_LASTRTIDB2SF,VARCHAR(100),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
52,DBSYNC_LASTTRANSFERDATE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
53,DEPARTURE_DATE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
54,DIR_MECH,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
55,DIR_OPS,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
56,DRAWINGS_DONE,BOOLEAN,COLUMN,Y,,N,N,,,,,rtidb_projects_dbo,PROJECT1_HEADER
